,year,Br (nT),Btheta (nT),Bphi (nT),BN (nT),BE (nT),BD (nT),D (deg),H (nT),I (deg),F (nT)
0,2000.0,201.82,-24245.87,-1146.09,24245.87,-1146.09,-201.82,-2.71,24272.94,-0.48,24273.78
1,2001.0416666666667,209.22,-24253.99,-1107.81,24253.99,-1107.81,-209.22,-2.62,24279.27,-0.49,24280.17
2,2002.0833333333333,216.62,-24262.1,-1069.54,24262.1,-1069.54,-216.62,-2.52,24285.67,-0.51,24286.63
3,2003.125,224.03,-24270.22,-1031.26,24270.22,-1031.26,-224.03,-2.43,24292.12,-0.53,24293.15
4,2004.1666666666667,231.43,-24278.34,-992.99,24278.34,-992.99,-231.43,-2.34,24298.64,-0.55,24299.74
5,2005.2083333333333,242.31,-24287.62,-953.36,24287.62,-953.36,-242.31,-2.25,24306.33,-0.57,24307.53
6,2006.25,267.13,-24301.58,-908.3,24301.58,-908.3,-267.13,-2.14,24318.55,-0.63,24320.01
7,2007.2916666666667,291.95,-24315.53,-863.25,24315.53,-863.25,-291.95,-2.03,24330.85,-0.69,24332.61
8,2008.3333333333333,316.76,-24329.49,-818.19,24329.49,-818.19,-316.76,-1.93,24343.25,-0.75,24345.31
9,2009.375,341.58,-24343.45,-773.14,24343.45,-773.14,-341.58,-1.82,24355.72,-0.8,24358.12
10,2010.4166666666667,364.14,-24355.59,-727.03,24355.59,-727.03,-364.14,-1.71,24366.44,-0.86,24369.16
11,2011.4583333333333,383.33,-24365.02,-679.33,24365.02,-679.33,-383.33,-1.6,24374.49,-0.9,24377.5
12,2012.5,402.52,-24374.45,-631.63,24374.45,-631.63,-402.52,-1.48,24382.63,-0.95,24385.95
13,2013.5416666666667,421.7,-24383.87,-583.94,24383.87,-583.94,-421.7,-1.37,24390.87,-0.99,24394.51
14,2014.5833333333333,440.89,-24393.3,-536.24,24393.3,-536.24,-440.89,-1.26,24399.2,-1.04,24403.18
15,2015.625,449.22,-24401.64,-486.13,24401.64,-486.13,-449.22,-1.14,24406.48,-1.05,24410.62
16,2016.6666666666667,450.31,-24409.25,-434.41,24409.25,-434.41,-450.31,-1.02,24413.12,-1.06,24417.27
17,2017.7083333333333,451.41,-24416.87,-382.68,24416.87,-382.68,-451.41,-0.9,24419.87,-1.06,24424.04
18,2018.75,452.5,-24424.48,-330.96,24424.48,-330.96,-452.5,-0.78,24426.72,-1.06,24430.91
19,2019.7916666666667,453.59,-24432.09,-279.24,24432.09,-279.24,-453.59,-0.65,24433.69,-1.06,24437.9
20,2020.8333333333333,443.19,-24438.08,-227.66,24438.08,-227.66,-443.19,-0.53,24439.14,-1.04,24443.16
21,2021.875,429.91,-24443.66,-176.1,24443.66,-176.1,-429.91,-0.41,24444.29,-1.01,24448.07
22,2022.9166666666667,416.64,-24449.23,-124.55,24449.23,-124.55,-416.64,-0.29,24449.55,-0.98,24453.1
23,2023.9583333333333,403.36,-24454.81,-73.0,24454.81,-73.0,-403.36,-0.17,24454.92,-0.94,24458.25
24,2025.0,390.08,-24460.39,-21.45,24460.39,-21.45,-390.08,-0.05,24460.4,-0.91,24463.51
