,r (km),theta (deg),phi (deg),Br (nT),Btheta (nT),Bphi (nT),BN (nT),BE (nT),BD (nT)
0,7000.0,-90.0,-180.0,39066.41,9317.58,6368.71,-9317.58,6368.71,-39066.41
1,7000.0,-70.0,-140.0,40281.61,-5882.87,9883.43,5882.87,9883.43,-40281.61
2,7000.0,-50.0,-100.0,23858.05,-14989.92,6816.01,14989.92,6816.01,-23858.05
3,7000.0,-30.0,-60.0,10416.76,-14515.5,-2193.24,14515.5,-2193.24,-10416.76
4,7000.0,-10.0,-20.0,12967.79,-15226.69,-4483.0,15226.69,-4483.0,-12967.79
5,7000.0,10.0,20.0,-365.73,-24950.14,452.21,24950.14,452.21,365.73
6,7000.0,30.0,60.0,-25089.91,-23636.58,911.18,23636.58,911.18,25089.91
7,7000.0,50.0,100.0,-40998.33,-15148.77,-476.92,15148.77,-476.92,40998.33
8,7000.0,70.0,140.0,-43837.72,-7257.16,-1439.48,7257.16,-1439.48,43837.72
9,7000.0,90.0,180.0,-43650.93,980.09,237.89,-980.09,237.89,43650.93
