,r km,Lat,Long,Potencias,g1,g2,g3
0,7000.0,-90.0,-180.0,56891685.41661963,-8.112744210931687,-9.935246230218711e-16,-4.954163071363762e-16
1,7000.0,-80.0,-160.0,56893879.299302325,-7.509131954836021,-2.733095016816497,-1.4052227921574207
2,7000.0,-70.0,-140.0,56900509.485377386,-5.8445002257532215,-4.904091182863352,-2.7693604928774915
3,7000.0,-60.0,-120.0,56910777.935111515,-3.518869469707273,-6.094797312904122,-4.0522175961783775
4,7000.0,-50.0,-100.0,56923395.445402555,-1.0822292886649463,-6.137401456124808,-5.215236988707801
5,7000.0,-40.0,-80.0,56936815.10536236,0.909102380083746,-5.15595563844648,-6.222611843602112
6,7000.0,-30.0,-60.0,56949381.10215294,2.0384988171134784,-3.5307543335938827,-7.04252042774207
7,7000.0,-20.0,-40.0,56959562.56231857,2.1382861982128856,-1.7941828823964954,-7.648403476153007
8,7000.0,-10.0,-20.0,56966231.8202901,1.3324579438130026,-0.48510109997118483,-8.020275882906477
9,7000.0,0.0,0.0,56968638.14797352,,,
10,7000.0,10.0,20.0,56966318.417541966,-1.3323114622798067,-0.48535517904607944,-8.020358824620628
11,7000.0,20.0,40.0,56959423.98553281,-2.1379619387964537,-1.7944861428367151,-7.648368492551327
12,7000.0,30.0,60.0,56948965.2842577,-2.0382864745908407,-3.530755880084968,-7.042324854926355
13,7000.0,40.0,80.0,56936408.933164954,-0.9091297144240599,-5.155821555010662,-6.222405817188641
14,7000.0,50.0,100.0,56923221.34695062,1.0821077611872152,-6.137328785657896,-5.215147594101394
15,7000.0,60.0,120.0,56910858.36590334,3.5188012033271017,-6.094831667386445,-4.052269195765057
16,7000.0,70.0,140.0,56900766.60183912,5.84456489857027,-4.904194993765234,-2.7694770485877775
17,7000.0,80.0,160.0,56894176.17098352,7.509291652862917,-2.733162430045906,-1.4052963771160076
18,7000.0,90.0,180.0,56891919.8628404,8.112882825058435,-9.935415983565348e-16,-4.954383795512303e-16
